CodReserva;DNIPasajero;NroVuelo;FechaReserva;EstadoReserva
6;92926563;AA790;19/08/2025;Confirmada
1;67671097;AA866;12/07/2025;Confirmada
13;38025394;AA799;20/12/2025;Confirmada
21;89268762;AA811;03/10/2025;Confirmada
15;14898276;AA841;25/09/2025;Confirmada
9;34567890;AA888;18/10/2025;Confirmada
19;86123456;AA801;03/10/2025;Confirmada
11;68123456;AA855;13/09/2025;Confirmada
25;26901234;AA789;19/12/2025;Confirmada
12;52908665;AA486;29/09/2025;Confirmada
25;54498152;AA123;22/12/2025;Confirmada
1;36123456;AA831;12/12/2025;Confirmada
1;67345678;AA790;09/08/2025;Confirmada
10;20451234;AA866;02/10/2025;Confirmada
8;62123456;AA799;25/10/2025;Confirmada
28;87654321;AA811;05/07/2025;Confirmada
2;91345678;AA841;25/11/2025;Confirmada
7;94123456;AA888;31/12/2025;Confirmada
26;76123456;AA801;06/07/2025;Confirmada
2;92465250;AA855;16/10/2025;Confirmada
18;40123456;AA789;01/08/2025;Confirmada
20;92123456;AA486;19/07/2025;Confirmada
8;25890123;AA123;18/08/2025;Confirmada
15;66123456;AA831;30/07/2025;Confirmada
4;35345678;AA790;28/09/2025;Confirmada
7;61345678;AA866;29/12/2025;Confirmada
6;13501786;AA799;08/11/2025;Confirmada
21;53123456;AA811;13/07/2025;Confirmada
18;79345678;AA841;30/07/2025;Confirmada
15;50761880;AA888;25/11/2025;Confirmada
6;50761881;AA801;10/09/2025;Confirmada
28;71345678;AA855;29/08/2025;Confirmada
24;21123456;AA789;05/07/2025;Confirmada
2;11223344;AA486;11/08/2025;Confirmada
23;29567890;AA123;18/10/2025;Confirmada
20;23456789;AA831;12/08/2025;Confirmada
2;38123456;AA790;06/08/2025;Confirmada
10;78123456;AA866;30/11/2025;Confirmada
19;51346225;AA799;19/08/2025;Confirmada
25;38323957;AA811;15/12/2025;Confirmada
18;69389237;AA841;01/10/2025;Confirmada
4;20784562;AA888;05/08/2025;Confirmada
13;97994551;AA801;18/12/2025;Confirmada
20;71197153;AA855;02/09/2025;Confirmada
9;43567890;AA789;30/12/2025;Confirmada
30;50345678;AA486;12/12/2025;Confirmada
23;81778269;AA123;17/11/2025;Confirmada
7;73345678;AA831;01/09/2025;Confirmada
7;56345678;AA790;07/07/2025;Confirmada
17;12345678;AA866;28/12/2025;Confirmada
30;56738776;AA799;26/10/2025;Confirmada
17;54265548;AA811;22/09/2025;Confirmada
17;15361036;AA841;25/06/2025;Confirmada
22;45123456;AA888;05/07/2025;Confirmada
1;98123456;AA801;29/06/2025;Confirmada
4;24678901;AA855;27/09/2025;Confirmada
17;54345678;AA789;05/08/2025;Confirmada
3;85345678;AA486;17/11/2025;Confirmada
13;90749074;AA123;28/08/2025;Confirmada
28;47801927;AA831;05/10/2025;Confirmada
24;42345678;AA790;10/10/2025;Confirmada
29;65345678;AA866;07/12/2025;Confirmada
29;74123456;AA799;25/08/2025;Confirmada
30;89345678;AA811;05/12/2025;Confirmada
22;30237009;AA841;10/08/2025;Confirmada
13;81345678;AA888;06/09/2025;Confirmada
3;97345678;AA801;03/12/2025;Confirmada
9;70123456;AA855;09/11/2025;Confirmada
14;93430561;AA789;19/10/2025;Confirmada
9;48345678;AA486;06/11/2025;Confirmada
29;55123456;AA123;07/10/2025;Confirmada
3;32596000;AA831;27/09/2025;Confirmada
28;51123456;AA790;20/07/2025;Confirmada
24;94095649;AA866;19/09/2025;Confirmada
28;49123456;AA799;15/09/2025;Confirmada
24;95975858;AA811;31/10/2025;Confirmada
3;66847427;AA841;04/07/2025;Confirmada
26;90123456;AA888;20/07/2025;Confirmada
12;23456789;AA801;21/11/2025;Confirmada
24;39015168;AA855;27/11/2025;Confirmada
30;72123456;AA789;03/07/2025;Confirmada
29;70130024;AA486;26/10/2025;Confirmada
12;45133768;AA123;06/10/2025;Confirmada
30;82123456;AA831;22/12/2025;Confirmada
26;28345678;AA790;01/11/2025;Confirmada
14;46345678;AA866;12/11/2025;Confirmada
14;96123456;AA799;26/11/2025;Confirmada
12;75208878;AA811;06/11/2025;Confirmada
29;83345678;AA841;15/08/2025;Confirmada
